id,name,abbreviation,location,conference
193,Miami (OH) RedHawks,M-OH,Miami (OH),
2390,Miami Hurricanes,MIA,Miami,
127,Michigan State Spartans,MSU,Michigan State,
130,Michigan Wolverines,MICH,Michigan,
2393,Middle Tennessee Blue Raiders,MTSU,Middle Tennessee,
270,Milwaukee Panthers,MILW,Milwaukee,
135,Minnesota Golden Gophers,MINN,Minnesota,
344,Mississippi State Bulldogs,MSST,Mississippi State,
2400,Mississippi Valley State Delta Devils,MVSU,Mississippi Valley State,
2623,Missouri State Bears,MOST,Missouri State,
142,Missouri Tigers,MIZ,Missouri,
2405,Monmouth Hawks,MONM,Monmouth,
